Player,1st,2nd,Tot
Tim Duncan,8,7,15
Kobe Bryant,9,3,12
Kevin Garnett,9,3,12
Kareem Abdul-Jabbar,5,6,11
Bobby Jones,8,1,9
Scottie Pippen,8,2,10
Dennis Johnson,6,3,9
Michael Jordan,9,0,9
Jason Kidd,4,5,9
Hakeem Olajuwon,5,4,9
Chris Paul,7,2,9
Gary Payton,9,0,9
Bruce Bowen,5,3,8
Michael Cooper,5,3,8
Draymond Green,4,4,8
John Havlicek,5,3,8
David Robinson,4,4,8
Dennis Rodman,7,1,8
Norm Van Lier,3,5,8
Walt Frazier,7,0,7
Kawhi Leonard,3,4,7
Tony Allen,3,3,6
Mookie Blaylock,2,4,6
Don Buse,4,0,4
Dave DeBusschere,6,0,6
Rudy Gobert,6,0,6
LeBron James,5,1,6
Kevin McHale,3,3,6
Dikembe Mutombo,3,3,6
Alvin Robertson,2,4,6
Jerry Sloan,4,2,6
Ben Wallace,5,1,6
Giannis Antetokounmpo,4,1,5
Jimmy Butler,0,5,5
Don Chaney,0,5,5
Maurice Cheeks,4,1,5
Joe Dumars,4,1,5
Mark Eaton,3,2,5
Artis Gilmore,0,1,1
Jrue Holiday,3,2,5
Dwight Howard,4,1,5
Sidney Moncrief,4,1,5
Dan Roundfield,3,2,5
Paul Silas,2,3,5
John Stockton,0,5,5
Nate Thurmond,2,3,5
Jerry West,4,1,5
Bam Adebayo,0,4,4
Quinn Buckner,0,4,4
Marcus Camby,2,2,4
Doug Christie,1,3,4
Anthony Davis,2,2,4
Paul George,2,2,4
Horace Grant,0,4,4
Karl Malone,3,1,4
Tayshaun Prince,0,4,4
Rajon Rondo,2,2,4
Buck Williams,2,2,4
Metta World Peace,2,2,4
Patrick Beverley,1,2,3
Larry Bird,0,3,3
P.J. Brown,0,3,3
Tyson Chandler,1,2,3
Dave Cowens,1,2,3
T.R. Dunn,0,3,3
Joel Embiid,0,3,3
Patrick Ewing,0,3,3
Serge Ibaka,3,0,3
Eddie Jones,0,3,3
Andrei Kirilenko,1,2,3
Bob Love,0,3,3
Larry Nance,1,2,3
Joakim Noah,2,1,3
Shaquille O'Neal,0,3,3
Paul Pressey,2,1,3
Marcus Smart,3,0,3
Brian Taylor,0,1,1
Dwyane Wade,0,3,3
Shane Battier,0,2,2
Raja Bell,1,1,2
Chauncey Billups,0,2,2
Eric Bledsoe,1,1,2
Avery Bradley,1,1,2
Jim Brewer,0,2,2
Bill Bridges,0,2,2
Joe Caldwell,0,1,1
Wilt Chamberlain,2,0,2
E.C. Coleman,1,1,2
Mike Gale,0,0,0
Derek Harper,0,2,2
Elvin Hayes,0,2,2
Lionel Hollins,1,1,2
Andre Iguodala,1,1,2
Jaren Jackson Jr.,2,0,2
Eddie Johnson,0,2,2
Gus Johnson,2,0,2
Caldwell Jones,2,0,2
DeAndre Jordan,2,0,2
Julius Keye,0,0,0
Brook Lopez,1,1,2
Maurice Lucas,1,1,2
Dan Majerle,0,2,2
Moses Malone,1,1,2
Rodney McCray,1,1,2
Derrick McKey,0,2,2
Nate McMillan,0,2,2
Alonzo Mourning,2,0,2
Charles Oakley,1,1,2
Theo Ratliff,0,2,2
Micheal Ray Richardson,2,0,2
Clifford Robinson,0,2,2
Tree Rollins,1,1,2
Ben Simmons,2,0,2
Fatty Taylor,0,0,0
Matisse Thybulle,0,2,2
Bill Walton,2,0,2
Kermit Washington,0,2,2
Jamaal Wilkes,0,2,2
Willie Wise,0,0,0
OG Anunoby,0,1,1
Andrew Bogut,0,1,1
Manute Bol,0,1,1
Dudley Bradley,0,1,1
Mikal Bridges,1,0,1
Dillon Brooks,0,1,1
M.L. Carr,0,1,1
Alex Caruso,1,0,1
Jim Cleamons,0,1,1
Mike Conley,0,1,1
Robert Covington,1,0,1
Bob Dandridge,1,0,1
Luol Deng,0,1,1
Julius Erving,0,0,0
Marc Gasol,0,1,1
A.C. Green,0,1,1
Danny Green,0,1,1
Bob Gross,0,1,1
Bill Hanzlik,0,1,1
Roy Hibbert,0,1,1
Kirk Hinrich,0,1,1
Al Horford,0,1,1
Larry Hughes,1,0,1
George Johnson,0,1,1
Wil Jones,0,0,0
Rudy LaRusso,0,1,1
Fat Lever,0,1,1
Rick Mahorn,0,1,1
Anthony Mason,0,1,1
Ted McClain,0,0,0
Paul Millsap,0,1,1
Evan Mobley,1,0,1
Dejounte Murray,0,1,1
Victor Oladipo,1,0,1
Bobby Phills,0,1,1
Jim Price,0,1,1
Willis Reed,1,0,1
Mike Riordan,0,1,1
Andre Roberson,0,1,1
Bill Russell,1,0,1
Tom Sanders,0,1,1
Thabo Sefolosha,0,1,1
Lonnie Shelton,0,1,1
Jack Sikma,0,1,1
Josh Smith,0,1,1
Phil Smith,0,1,1
Eric Snow,0,1,1
Latrell Sprewell,0,1,1
John Starks,0,1,1
Klay Thompson,0,1,1
Dick Van Arsdale,0,1,1
Anderson Varejão,0,1,1
Danny Vranes,0,1,1
John Wall,0,1,1
Gerald Wallace,1,0,1
Slick Watts,1,0,1
Scott Wedman,0,1,1
Derrick White,0,1,1
Hassan Whiteside,0,1,1
Micheal Williams,0,1,1
Robert Williams,0,1,1