,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists","Career high, Steals","Career high, Game Score",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,"Career high, Blocks",Triple-Doubles
0,Tim Kempton,1986-87,23.0,['LAC' 'CHH' 'DEN' 'PHO' 'TOT' 'CLE' 'ATL' 'SAS' 'ORL' 'TOR'],NBA,PF,79.0,14.0,17.0,2.2,4.4,0.51,0.0,0.0,0.0,2.2,4.4,0.512,0.51,1.8,2.6,1.0,1.2,2.7,3.8,1.7,0.6,0.4,1.8,2.8,6.1,1,21.0,10.0,7.0,4.0,23.5,['NOTREDAME'],,0,0,0,8,1986,2.0,
0,Ed Kasid,1946-47,23.0,['TRH'],BAA,,8.0,,,0.8,2.6,0.286,,,,,,,,0.0,0.8,0.0,,,,0.8,,,,1.0,1.5,0,6.0,,,,,,,0,0,0,,,,
0,Joel Kramer,1978-79,23.0,['PHO'],NBA,PF,82.0,4.0,17.1,2.2,4.5,0.527,0.0,0.0,0.0,2.2,4.5,0.529,0.527,1.5,2.1,0.875,1.6,2.5,4.1,1.4,0.5,0.3,1.2,2.7,5.9,0,18.0,12.0,6.0,4.0,21.7,['SANDIEGOST'],,0,0,0,19,1978,2.0,
0,Georgios Kalaitzakis,2021-22,23.0,['TOT' 'MIL' 'OKC'],NBA,SF,13.0,4.0,41.5,6.5,14.0,0.464,2.0,5.5,0.5,4.5,8.5,0.529,0.545,2.5,5.3,0.476,0.5,2.8,3.3,3.0,2.5,0.3,4.0,2.8,17.5,1,25.0,6.0,6.0,3.0,18.1,,https://www.basketball-reference.com/req/202106291/images/headshots/kalaige01.jpg,0,0,0,30,2021,1.0,
0,Rod Knowles,1968-69,22.0,['TOT' 'PHO' 'NYA'],TOT,C,9.0,,5.0,0.5,1.8,0.286,0.0,0.0,,0.5,1.8,0.286,0.286,0.1,0.4,0.333,0.0,0.0,1.1,0.0,,,0.0,1.3,1.1,1,6.0,7.0,,,,['DAVIDSON'],,0,0,0,13,1968,,
0,Jim Kissane,1968-69,22.0,['MNP'],ABA,,2.0,,7.5,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,1.0,1.0,1.0,0.0,1.5,1.5,0.0,,,0.5,1.5,3.0,0,6.0,,,,,['BOSTONCOLL'],,0,0,0,5,1968,,
0,Braxton Key,2021-22,24.0,['TOT' 'PHI' 'DET'],NBA,SF,11.0,0.0,21.2,3.6,7.8,1.0,0.7,2.2,0.3,2.9,5.6,1.0,1.0,0.8,1.4,1.0,1.3,4.0,5.3,1.1,1.0,1.2,1.0,2.8,8.6,1,14.0,9.0,3.0,3.0,14.9,['ALABAMA' 'VIRGINIA'],https://www.basketball-reference.com/req/202106291/images/headshots/keybr01.jpg,0,0,0,,,3.0,
0,Len Kosmalski,1974-75,23.0,['KCO' 'KCK'],NBA,C,67.0,,10.3,0.9,2.2,0.4,,,,,,,,0.4,0.8,0.828,1.0,1.8,2.8,1.3,0.3,0.4,,1.2,2.2,0,11.0,10.0,4.0,2.0,,['TENNESSEE'],,0,0,0,6,1974,2.0,
0,Rob Kurz,2008-09,23.0,['GSW'],NBA,PF,40.0,5.0,11.1,1.3,3.3,0.389,0.4,1.0,0.395,0.9,2.3,0.387,0.447,1.0,1.3,0.8,0.8,1.2,2.0,0.5,0.4,0.5,0.4,2.0,3.9,0,21.0,7.0,3.0,3.0,18.9,['NOTREDAME'],https://www.basketball-reference.com/req/202106291/images/headshots/kurzro01.jpg,0,0,0,,,3.0,
0,Terry Kunze,1967-68,24.0,['MNM'],ABA,SG,46.0,,14.4,1.8,5.3,0.339,0.1,0.2,0.455,1.7,5.1,0.333,0.349,1.3,2.2,0.578,,,1.6,1.0,,,1.3,1.7,5.0,0,24.0,5.0,,,,['MINNESOTA'],,0,0,0,5,1965,,
0,Adam Keefe,1992-93,22.0,['ATL' 'UTA' 'GSW'],NBA,PF,82.0,75.0,25.6,2.9,5.3,0.577,0.0,0.1,0.333,2.9,5.3,0.577,0.577,2.0,2.9,0.81,2.2,3.4,5.5,1.1,0.7,0.5,1.2,2.4,7.8,0,30.0,17.0,6.0,4.0,28.0,['STANFORD'],https://www.basketball-reference.com/req/202106291/images/headshots/keefead01.jpg,0,0,0,10,1992,3.0,
0,Leo Katkaveck,1948-49,25.0,['WSC'],BAA,,54.0,,,1.9,6.1,0.332,,,,,,,,1.0,1.3,0.746,,,,1.3,,,,2.1,4.4,0,16.0,,3.0,,,['NCSTATE'],,0,0,0,,1948,,
0,Mitch Kupchak,1976-77,22.0,['WSB' 'LAL'],NBA,C,82.0,26.0,31.6,5.9,11.5,0.573,0.0,0.1,0.0,5.9,11.5,0.573,0.573,4.2,6.0,0.75,2.5,5.6,8.1,1.3,0.5,0.6,2.7,3.1,15.9,0,32.0,20.0,5.0,3.0,25.8,['UNC'],,0,2,0,13,1976,3.0,
0,Billy Kenville,1953-54,23.0,['SYR' 'FTW' 'DET'],NBA,PG,72.0,,24.0,3.0,8.6,0.384,,,,,,,,2.7,3.6,0.805,,,4.6,2.4,,,,2.4,8.2,0,26.0,12.0,11.0,,,['STBONNY'],,0,1,0,,1953,,
0,Mario Kasun,2004-05,24.0,['ORL'],NBA,C,45.0,0.0,7.9,1.1,2.5,0.48,0.0,0.0,0.0,1.1,2.5,0.485,0.48,0.6,1.0,0.783,1.2,1.7,2.8,0.2,0.2,0.3,0.6,2.5,2.9,0,10.0,10.0,2.0,1.0,9.8,,,0,0,0,12,2002,2.0,
0,Larry Krystkowiak,1986-87,22.0,['SAS' 'MIL' 'UTA' 'ORL' 'CHI' 'LAL'],NBA,PF,80.0,77.0,30.9,4.5,9.6,0.5,0.1,0.2,0.333,4.5,9.4,0.5,0.5,3.6,4.4,0.9,2.5,5.2,7.6,1.6,1.2,0.2,1.8,2.8,12.7,0,31.0,18.0,7.0,4.0,24.8,['MONTANA'],,0,0,0,4,1986,2.0,
0,Nathan Knight,2020-21,23.0,['ATL' 'MIN'],NBA,PF,38.0,2.0,8.5,1.2,3.0,0.568,0.2,1.0,0.364,1.1,2.0,0.644,0.617,1.3,1.7,0.8,0.9,1.4,2.3,0.6,0.3,0.3,0.6,1.1,3.8,0,20.0,11.0,4.0,3.0,19.7,['WILLMARY'],https://www.basketball-reference.com/req/202106291/images/headshots/knighna01.jpg,0,0,0,,,2.0,
0,Andy Kostecka,1948-49,27.0,['INJ'],BAA,,21.0,,,2.2,5.2,0.418,,,,,,,,2.0,3.3,0.614,,,,0.7,,,,2.3,6.4,0,19.0,,,,,['GEORGETOWN'],,0,0,0,,1948,,
0,Stanton Kidd,2019-20,27.0,['UTA'],NBA,SG,4.0,0.0,3.8,0.0,0.8,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.8,0.8,0.3,0.0,0.0,0.5,0.8,0.0,0,,2.0,1.0,,0.0,['COLORADOST'],https://www.basketball-reference.com/req/202106291/images/headshots/kiddst01.jpg,0,0,0,,,,
0,Maurice King,1959-60,24.0,['BOS' 'CHZ'],NBA,PG,37.0,,25.8,5.0,8.0,0.625,,,,,,,,0.8,1.0,0.824,,,4.0,3.8,,,,3.0,10.0,0,22.0,6.0,11.0,,,['KANSAS'],,0,0,0,8,1957,,
0,Tom Kozelko,1973-74,22.0,['CAP' 'WSB'],NBA,PF,73.0,,11.7,1.2,2.7,0.485,,,,,,,,0.5,0.7,0.861,1.1,1.5,2.5,0.6,0.4,0.1,,1.7,2.9,0,15.0,10.0,8.0,3.0,,['TOLEDO'],,0,0,0,13,1973,1.0,
0,Yaroslav Korolev,2005-06,18.0,['LAC'],NBA,SF,24.0,0.0,5.3,0.4,1.6,0.3,0.1,0.5,0.286,0.3,1.1,0.304,0.333,0.3,0.6,0.7,0.2,0.3,0.5,0.4,0.3,0.0,0.3,0.5,1.2,0,7.0,3.0,2.0,1.0,4.0,,,0,0,0,12,2005,,
0,Stan Kimbrough,1989-90,23.0,['DET' 'SAC'],NBA,PG,10.0,0.0,5.0,0.7,2.0,0.438,0.3,0.7,0.5,0.7,1.6,0.438,0.438,0.2,0.2,1.0,0.4,0.3,0.7,0.5,0.4,0.0,0.4,0.4,1.7,0,5.0,2.0,2.0,2.0,4.0,['CFLORIDA' 'XAVIER'],,0,0,0,,,,
0,John Kuester,1977-78,22.0,['KCK' 'DEN' 'IND'],NBA,PG,78.0,,15.6,1.9,4.1,0.455,0.0,0.0,0.0,1.9,4.1,0.455,0.455,1.1,1.3,0.929,0.2,1.2,1.5,3.2,0.7,0.0,1.2,1.8,4.8,0,21.0,6.0,12.0,3.0,11.3,['UNC'],,0,0,0,9,1977,1.0,
0,Steve Kuberski,1969-70,22.0,['BOS' 'MIL' 'TOT' 'BUF'],NBA,PF,82.0,,22.8,3.8,9.1,0.467,,,,,,,,1.6,2.2,1.0,1.4,2.5,6.6,1.0,0.3,0.2,0.7,2.4,9.3,1,27.0,16.0,4.0,2.0,-1.1,['ILLINOIS' 'BRADLEY'],,0,2,0,9,1969,1.0,
0,Ken Keller,1946-47,24.0,['TOT' 'WSC' 'PRO'],BAA,,28.0,,,0.4,1.2,0.333,,,,,,,,0.1,0.3,0.5,,,,0.0,,,,0.6,0.9,1,4.0,,,,,,,0,0,0,,,,
0,Kyle Korver,2003-04,22.0,['PHI' 'TOT' 'UTA' 'CHI' 'ATL' 'CLE' 'MIL'],NBA,SF,82.0,80.0,33.9,5.0,11.4,0.493,2.9,6.8,0.536,3.2,7.3,0.575,0.671,2.6,2.8,0.933,0.5,4.1,4.6,2.9,1.3,0.6,1.6,3.2,14.4,1,31.0,11.0,9.0,6.0,29.1,['CREIGHTON'],https://www.basketball-reference.com/req/202106291/images/headshots/korveky01.jpg,1,0,0,22,2003,4.0,
0,Bernard King,1977-78,21.0,['NJN' 'UTA' 'GSW' 'NYK' 'WSB'],NBA,SF,82.0,82.0,39.1,12.6,23.7,0.588,0.1,0.6,0.333,12.5,23.5,0.589,0.588,7.7,10.0,0.819,3.4,6.2,9.5,4.6,1.5,0.5,4.0,4.0,32.9,0,60.0,18.0,14.0,6.0,47.5,['TENNESSEE'],,4,0,0,7,1977,3.0,2.0
0,Mindaugas Kuzminskas,2016-17,27.0,['NYK'],NBA,SF,68.0,5.0,14.9,2.3,5.4,0.428,0.8,2.5,0.321,1.5,3.0,0.517,0.501,0.8,1.0,0.809,0.7,1.2,1.9,1.0,0.4,0.2,0.8,1.2,6.3,0,19.0,8.0,4.0,2.0,17.5,,https://www.basketball-reference.com/req/202106291/images/headshots/kuzmimi01.jpg,0,0,0,,,1.0,
0,Ron Knight,1970-71,23.0,['POR'],NBA,PF,52.0,,12.7,2.3,5.2,0.436,,,,,,,,0.6,1.3,0.5,,,3.2,1.0,,,,1.9,5.2,0,16.0,12.0,4.0,,,['CALSTLA'],,0,0,0,8,1970,,
0,Jim King,1963-64,22.0,['LAL' 'SFW' 'TOT' 'CIN' 'CHI'],NBA,PG,77.0,,35.0,6.3,15.3,0.455,,,,,,,,4.0,5.0,0.846,,,5.3,4.2,,,,3.2,16.6,1,37.0,13.0,12.0,,,['TULSA'],,1,0,0,5,1963,,
0,Gary Keller,1967-68,23.0,['MNM' 'MMF'],ABA,PF,69.0,,17.6,2.7,7.0,0.406,0.0,0.1,0.0,2.7,7.0,0.413,0.406,2.0,3.1,0.65,1.4,1.8,5.6,0.6,,,1.3,2.4,7.3,0,21.0,13.0,1.0,,,['FLORIDA'],,0,0,0,4,1967,,
0,Dan King,1954-55,24.0,['BLB'],NBA,,12.0,,8.6,0.6,1.8,0.318,,,,,,,,0.4,0.8,0.5,,,2.1,0.3,,,,0.4,1.6,0,,,,,,['WKENTUCKY'],,0,0,0,,,,
0,Viktor Khryapa,2004-05,22.0,['POR' 'CHI'],NBA,SF,69.0,53.0,21.6,2.3,5.0,0.462,0.1,0.4,0.364,2.1,4.5,0.474,0.477,1.1,1.6,0.731,1.7,2.8,4.4,1.3,0.7,0.6,1.2,3.0,5.8,0,22.0,12.0,4.0,4.0,24.7,,,0,0,0,22,2004,3.0,
0,Wilbert Kautz,1946-47,31.0,['CHS'],BAA,,50.0,,,2.1,8.4,0.255,,,,,,,,0.8,1.5,0.534,,,,0.7,,,,2.3,5.1,0,18.0,,,,,,,0,0,0,,,,
0,Julius Keye,1969-70,23.0,['DNR' 'MMS'],ABA,C,84.0,,43.8,6.1,14.2,0.447,0.0,0.1,0.375,6.1,14.2,0.451,0.448,2.6,3.8,0.75,4.5,13.1,17.5,2.2,0.5,2.7,2.6,4.1,14.7,0,38.0,25.0,6.0,2.0,4.0,,https://www.basketball-reference.com/req/202106291/images/headshots/keyeju01.jpg,1,0,0,10,1968,12.0,
0,Bruce Kuczenski,1983-84,22.0,['TOT' 'NJN' 'PHI' 'IND'],NBA,PF,15.0,2.0,13.3,1.0,3.4,0.333,0.0,0.0,,1.0,3.4,0.333,0.333,0.8,0.9,1.0,0.6,1.7,2.0,0.7,0.3,0.3,1.7,2.3,2.8,1,6.0,6.0,2.0,,4.2,['UCONN'],,0,0,0,12,1983,1.0,
0,Joe Kopicki,1982-83,22.0,['WSB' 'DEN'],NBA,PF,59.0,2.0,11.8,1.4,3.0,0.526,0.0,0.1,0.667,1.4,2.9,0.522,0.537,1.5,1.9,0.84,1.1,2.6,3.6,0.8,0.5,0.1,0.7,1.4,3.9,0,19.0,11.0,5.0,2.0,18.9,['DETROIT'],,0,0,0,10,1982,2.0,
0,Ron Kozlicki,1967-68,23.0,['INA'],ABA,SF,37.0,,9.6,1.1,3.3,0.339,0.2,0.8,0.207,0.9,2.5,0.38,0.364,0.6,0.9,0.618,,,1.9,0.4,,,0.5,0.8,2.9,0,14.0,5.0,1.0,,,['NWESTERN'],,0,0,0,10,1967,,
0,Jim Krebs,1957-58,22.0,['MNL' 'LAL'],NBA,C,79.0,,25.8,4.0,9.4,0.445,,,,,,,,2.0,2.7,0.806,,,7.9,1.4,,,,3.7,10.0,0,36.0,19.0,4.0,,,['SMETHODIST'],,0,0,0,3,1957,,
0,Rodions Kurucs,2018-19,20.0,['BRK' 'TOT' 'HOU' 'MIL'],NBA,SF,63.0,46.0,20.5,3.2,7.1,0.625,0.9,2.9,0.75,2.3,4.2,0.543,0.813,1.1,1.5,1.0,0.9,3.0,3.9,1.1,0.7,0.4,1.2,2.3,8.5,1,24.0,12.0,5.0,3.0,18.9,,https://www.basketball-reference.com/req/202106291/images/headshots/kurucro01.jpg,0,0,0,10,2018,3.0,
0,Loyd King,1971-72,22.0,['MMP' 'MMT'],ABA,SG,74.0,,15.6,2.5,6.7,0.374,0.3,1.2,0.241,2.2,5.5,0.403,0.396,1.3,1.6,0.875,0.5,1.0,1.5,1.4,,,1.0,2.3,6.6,0,28.0,6.0,7.0,,,['VATECH'],,0,0,0,8,1971,,
0,Frankie King,1995-96,23.0,['LAL' 'PHI'],NBA,PG,7.0,0.0,8.4,1.0,2.4,0.412,0.1,0.3,0.5,0.9,2.1,0.4,0.441,0.7,0.7,1.0,0.6,1.4,2.0,0.7,0.6,0.0,0.4,1.0,2.9,0,6.0,5.0,2.0,2.0,5.9,['WCAROLINA'],,0,0,0,8,1995,,
0,Lee Knorek,1946-47,25.0,['NYK' 'BLB'],BAA,,60.0,,,2.8,10.0,0.341,,,,,,,,2.2,3.3,0.716,,,,2.3,,,,4.3,7.8,0,24.0,,8.0,,,,,0,0,0,,,,
0,Bart Kofoed,1987-88,23.0,['UTA' 'GSW' 'SEA' 'BOS'],NBA,SG,44.0,0.0,9.3,0.6,1.9,0.472,0.1,0.2,0.286,0.6,1.7,0.522,0.481,1.6,2.0,0.786,0.4,0.5,0.6,1.4,0.5,0.1,0.7,1.2,2.4,0,15.0,5.0,9.0,2.0,18.7,['HASTINGS' 'NEKEARNEY'],,0,0,0,15,1987,1.0,
0,George Karl,1973-74,22.0,['SAA' 'SAS'],ABA,PG,82.0,,19.9,3.2,6.8,0.489,0.1,0.3,0.364,3.1,6.5,0.503,0.493,1.7,2.2,1.0,0.6,1.3,1.9,4.1,1.2,0.1,1.9,2.5,8.1,0,29.0,7.0,13.0,5.0,0.2,['UNC'],,0,0,0,14,1973,1.0,
0,Lari Ketner,1999-00,22.0,['TOT' 'CHI' 'CLE' 'IND'],NBA,PF,22.0,0.0,6.8,0.7,1.7,0.409,0.0,0.0,,0.7,1.7,0.409,0.409,0.4,0.6,1.0,0.8,1.2,1.7,0.3,0.2,0.2,0.7,1.3,1.7,1,6.0,8.0,1.0,2.0,5.6,['UMASS'],,0,0,0,20,1999,1.0,
0,Corey Kispert,2021-22,22.0,['WAS'],NBA,SF,77.0,45.0,28.3,3.9,7.9,0.497,2.2,5.2,0.424,1.7,2.7,0.637,0.637,1.0,1.2,0.871,0.7,2.4,2.8,1.2,0.5,0.3,0.7,1.3,11.1,0,29.0,7.0,6.0,3.0,20.8,['GONZAGA'],https://www.basketball-reference.com/req/202106291/images/headshots/kispeco01.jpg,0,0,0,15,2021,2.0,
0,Luke Kornet,2017-18,22.0,['NYK' 'CHI' 'TOT' 'BOS' 'CLE' 'MIL'],NBA,C,69.0,18.0,17.0,2.5,6.3,0.665,1.5,4.2,0.363,1.6,2.3,0.75,0.674,1.0,1.5,0.826,1.2,2.7,3.2,1.3,0.6,1.4,0.6,1.5,7.0,1,25.0,13.0,6.0,5.0,23.7,['VANDY'],https://www.basketball-reference.com/req/202106291/images/headshots/kornelu01.jpg,0,0,0,,,6.0,
0,Wilbur Kirkland,1969-70,,['PTP'],ABA,,2.0,,13.5,1.5,3.5,0.429,0.0,0.0,,1.5,3.5,0.429,0.429,0.0,0.0,,0.5,5.0,5.5,0.5,,,1.0,2.5,3.0,0,6.0,2.0,,,,,,0,0,0,,,,
0,Don Kojis,1963-64,25.0,['BAL' 'DET' 'CHI' 'SDR' 'SEA' 'KCO'],NBA,SF,81.0,,38.6,8.5,19.5,0.48,,,,,,,,5.5,7.4,0.793,1.6,3.3,10.3,2.6,1.0,0.2,,3.8,22.5,0,42.0,20.0,9.0,3.0,,['MARQUETTE'],,2,0,0,4,1961,1.0,
0,Larry Kenon,1973-74,21.0,['NYA' 'SAA' 'SAS' 'CHI' 'TOT' 'GSW' 'CLE'],ABA,PF,84.0,30.0,37.7,9.2,18.4,0.509,0.0,0.1,0.5,9.2,18.4,0.509,0.51,3.8,4.6,0.854,4.5,7.7,11.5,4.1,2.1,0.8,3.7,3.0,22.1,1,51.0,22.0,11.0,11.0,34.7,['MEMPHIS'],https://www.basketball-reference.com/req/202106291/images/headshots/kenonla01.jpg,5,1,0,15,1973,3.0,3.0
0,Kevin Kunnert,1973-74,22.0,['TOT' 'BUF' 'HOU' 'SDC' 'POR'],NBA,C,81.0,0.0,29.2,5.8,11.9,0.512,0.0,0.0,,5.8,11.9,0.512,0.512,1.5,2.4,0.778,3.3,6.5,9.8,1.9,0.7,1.5,2.3,4.5,12.9,1,31.0,23.0,7.0,3.0,29.1,['IOWA'],,0,0,0,12,1973,6.0,
0,Vit Krejci,2021-22,21.0,['OKC' 'ATL'],NBA,SG,30.0,8.0,23.0,2.3,5.6,0.407,1.1,3.3,0.327,1.2,2.3,0.625,0.503,0.6,0.7,0.864,0.6,2.8,3.4,1.9,0.6,0.3,1.0,2.2,6.2,0,16.0,11.0,8.0,3.0,11.9,,https://www.basketball-reference.com/req/202106291/images/headshots/krejcvi01.jpg,0,0,0,7,2020,2.0,
0,Ron King,1973-74,22.0,['KEN'],ABA,SG,9.0,,14.0,2.7,7.8,0.343,0.2,0.7,0.333,2.4,7.1,0.344,0.357,1.6,1.9,0.824,0.9,1.2,2.1,1.6,0.6,0.2,0.8,1.6,7.1,0,19.0,6.0,5.0,,,['FLORIDAST'],,0,0,0,11,1973,,
0,Harold Kottman,1946-47,24.0,['BOS'],BAA,,53.0,,,1.1,3.5,0.314,,,,,,,,0.9,1.9,0.465,,,,0.3,,,,1.1,3.1,0,19.0,,,,,,,0,0,0,,,,
0,Mfiondu Kabengele,2019-20,22.0,['LAC' 'TOT' 'CLE' 'BOS'],NBA,C,39.0,0.0,11.6,1.5,3.6,0.438,0.8,2.0,0.45,0.9,1.6,0.6,0.578,0.7,0.9,1.0,1.3,2.2,2.9,0.8,0.5,0.6,0.6,1.1,4.3,1,14.0,10.0,3.0,2.0,12.4,['FLORIDAST'],https://www.basketball-reference.com/req/202106291/images/headshots/kabenmf01.jpg,0,0,0,27,2019,3.0,
0,Randolph Keys,1988-89,22.0,['CLE' 'TOT' 'CHH' 'LAL' 'MIL'],NBA,SF,80.0,18.0,22.6,4.4,10.0,0.445,0.4,1.5,0.364,4.1,8.9,0.529,0.471,1.3,1.8,1.0,1.5,2.1,3.6,1.5,0.9,0.3,1.2,3.3,10.5,1,22.0,9.0,5.0,5.0,18.5,['SMISS'],,0,0,0,22,1988,3.0,
0,Bob Kauffman,1968-69,22.0,['SEA' 'CHI' 'BUF' 'ATL'],NBA,C,82.0,,41.6,7.9,16.8,0.505,,,,,,,,4.6,6.2,0.795,1.3,3.1,11.1,5.1,0.5,0.2,,3.5,20.4,0,44.0,22.0,11.0,3.0,,,https://www.basketball-reference.com/req/202106291/images/headshots/kauffbo01.jpg,3,0,0,3,1968,3.0,7.0
0,Tom Kerwin,1967-68,23.0,['PTP'],ABA,,13.0,,5.2,0.5,1.7,0.318,0.0,0.0,,0.5,1.7,0.318,0.318,0.0,0.2,0.0,,,1.5,0.1,,,0.2,0.4,1.1,0,6.0,5.0,,,,['CENTENARY'],,0,0,0,3,1966,,
0,Stacey King,1989-90,23.0,['CHI' 'TOT' 'MIN' 'MIA' 'BOS' 'DAL'],NBA,PF,82.0,30.0,28.7,4.3,9.4,0.714,0.0,0.1,0.4,4.3,9.4,0.714,0.714,3.2,4.6,0.753,2.2,3.8,6.1,1.3,0.7,1.7,2.2,3.2,11.8,1,24.0,16.0,7.0,3.0,22.3,['OKLAHOMA'],,0,3,0,6,1989,7.0,
