,Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS,MidSeasonTrade,"Career high, Points","Career high, Rebounds","Career high, Assists",College,Image URL,All Star Games,Championships,HOF,Pick #,Draft Year,STL,"Career high, Steals",Triple-Doubles,"Career high, Blocks","Career high, Game Score"
0,Shawne Williams,2006-07,20.0,['IND' 'DAL' 'NYK' 'NJN' 'LAL' 'TOT' 'MIA' 'DET'],NBA,SG,65.0,22.0,21.0,2.6,6.0,0.469,1.4,3.6,0.401,1.8,3.6,0.519,0.55,1.2,1.6,1.0,1.3,3.9,4.6,0.9,0.8,0.9,2.6,7.1,1,25.0,12.0,4.0,['MEMPHIS'],https://www.basketball-reference.com/req/202106291/images/headshots/willish03.jpg,0,0,0,17,2006,0.6,3.0,,5.0,20.4
0,Trendon Watford,2021-22,21.0,['POR'],NBA,SF,62.0,12.0,19.1,3.0,5.6,0.56,0.4,1.0,0.391,2.8,4.8,0.602,0.599,1.5,2.0,0.755,1.2,3.2,4.1,2.1,0.6,1.1,2.4,7.6,0,27.0,14.0,8.0,['LSU'],https://www.basketball-reference.com/req/202106291/images/headshots/watfotr01.jpg,0,0,0,,,0.5,3.0,,4.0,25.7
0,Michael Wiley,1980-81,23.0,['SAS' 'SDC'],NBA,PF,61.0,1.0,16.6,3.3,5.9,0.565,0.0,0.1,0.0,3.3,5.8,0.573,0.565,1.6,2.3,0.75,1.1,1.9,3.0,0.9,0.3,1.2,2.1,8.3,0,28.0,9.0,5.0,['LONGBEACH'],,0,0,0,16,1980,0.7,3.0,,3.0,21.8
0,Win Wilfong,1957-58,24.0,['STL' 'CIN'],NBA,PG,72.0,,27.7,3.9,10.6,0.37,,,,,,,,2.3,3.4,0.809,,,4.9,3.7,,,3.2,10.1,0,25.0,11.0,11.0,['MISSOURI' 'MEMPHIS'],,0,1,0,4,1957,,,,,
0,Howard Wood,1981-82,22.0,['UTA'],NBA,SF,42.0,3.0,8.1,1.3,2.9,0.458,0.0,0.0,0.0,1.3,2.8,0.462,0.458,0.8,1.2,0.654,0.5,1.0,1.5,0.2,0.1,0.4,0.9,3.4,0,16.0,7.0,1.0,['TENNESSEE'],,0,0,0,4,1981,0.2,2.0,,2.0,12.5
0,Rickey Williams,1982-83,25.0,['UTA'],NBA,SG,44.0,0.0,7.9,1.3,3.1,0.415,0.0,0.1,0.0,1.3,3.0,0.424,0.415,0.8,1.2,0.66,0.3,0.5,0.9,0.8,0.1,0.9,1.0,3.3,0,13.0,5.0,5.0,['NMEXICO' 'LONGBEACH'],,0,0,0,4,1978,0.5,2.0,,2.0,11.5
0,Mo Williams,2003-04,21.0,['UTA' 'MIL' 'CLE' 'TOT' 'LAC' 'POR' 'MIN' 'CHO'],NBA,SG,81.0,81.0,36.5,6.9,15.4,0.48,2.3,6.6,0.436,5.7,12.1,0.512,0.548,3.1,3.4,0.912,0.8,4.0,4.8,7.1,0.3,3.0,3.0,17.8,1,52.0,11.0,15.0,['ALABAMA'],https://www.basketball-reference.com/req/202106291/images/headshots/willima01.jpg,1,1,0,18,2003,1.3,6.0,1.0,4.0,38.4
0,Marv Winkler,1970-71,22.0,['MIL' 'INA'],NBA,,20.0,,7.8,1.0,3.3,0.3,0.1,0.2,0.5,1.0,3.3,0.3,0.3,0.7,0.7,1.0,0.4,0.5,1.3,0.7,,0.6,1.0,2.7,0,7.0,4.0,4.0,,,0,1,0,16,1970,,,,,
0,Richard Washington,1976-77,21.0,['KCK' 'MIL' 'TOT' 'DAL' 'CLE'],NBA,PF,82.0,2.0,28.6,5.4,12.6,0.477,0.0,0.1,0.5,5.4,12.6,0.477,0.477,2.2,3.1,0.754,2.5,6.1,8.5,1.6,1.1,2.4,4.2,13.0,1,30.0,21.0,6.0,['UCLA'],,0,0,0,3,1976,0.9,5.0,,6.0,25.0
0,Foots Walker,1974-75,23.0,['CLE' 'NJN'],NBA,PG,81.0,54.0,31.9,3.8,8.1,0.464,0.1,0.2,0.4,3.8,8.1,0.471,0.464,2.6,3.2,0.889,1.1,2.8,3.8,8.0,0.3,2.3,2.8,10.1,0,26.0,12.0,18.0,['WGEORGIA'],,0,0,0,2,1974,2.4,8.0,2.0,3.0,27.3
0,Chris Webber,1993-94,20.0,['GSW' 'WSB' 'WAS' 'SAC' 'TOT' 'PHI' 'DET'],NBA,C,76.0,76.0,40.9,11.2,23.4,0.552,1.0,2.9,0.441,11.2,23.0,0.559,0.571,4.7,6.6,0.799,4.0,9.4,13.0,5.5,2.2,3.5,3.8,27.1,1,51.0,26.0,13.0,['MICHIGAN'],https://www.basketball-reference.com/req/202106291/images/headshots/webbech01.jpg,5,0,0,1,1993,1.8,8.0,21.0,9.0,40.7
0,Dion Waiters,2012-13,21.0,['CLE' 'TOT' 'OKC' 'MIA' 'LAL'],NBA,SG,80.0,48.0,30.6,6.1,14.4,0.433,2.7,6.6,0.471,4.8,10.6,0.558,0.538,2.6,3.5,0.875,0.6,3.7,3.7,4.3,0.7,2.3,2.3,15.9,1,33.0,10.0,11.0,['SYRACUSE'],https://www.basketball-reference.com/req/202106291/images/headshots/waitedi01.jpg,0,1,0,4,2012,1.3,5.0,,3.0,28.1
0,Chet Walker,1962-63,22.0,['SYR' 'PHI' 'CHI'],NBA,SF,82.0,,36.5,8.0,17.3,0.505,,,,,,,,6.2,7.3,0.875,1.6,4.2,10.3,2.5,0.1,,3.1,22.0,0,56.0,21.0,8.0,['BRADLEY'],https://www.basketball-reference.com/req/202106291/images/headshots/walkech01.jpg,7,1,0,5,1962,0.8,5.0,,1.0,
0,Jayson Williams,1990-91,22.0,['PHI' 'NJN'],NBA,PF,80.0,65.0,36.0,5.4,13.2,0.498,0.0,0.1,0.5,5.4,13.1,0.501,0.498,3.0,4.5,0.666,6.8,7.6,13.6,1.2,2.0,2.0,4.2,13.4,0,35.0,26.0,5.0,['STJOHNS'],https://www.basketball-reference.com/req/202106291/images/headshots/willija01.jpg,1,0,0,21,1990,0.8,3.0,,6.0,29.6
0,Donald Whiteside,1996-97,27.0,['TOR' 'ATL'],NBA,PG,27.0,1.0,9.6,0.7,2.0,0.5,0.4,1.3,0.333,0.3,0.7,1.0,0.5,0.4,0.7,0.733,0.1,0.4,0.4,1.3,0.0,0.6,0.9,2.2,0,9.0,2.0,3.0,['NILLINOIS'],,0,0,0,,,0.4,2.0,,,9.1
0,Robert Whaley,2005-06,23.0,['UTA'],NBA,C,23.0,0.0,9.2,1.0,2.5,0.404,0.0,0.0,,1.0,2.5,0.404,0.404,0.1,0.3,0.5,0.7,1.2,1.9,0.7,0.3,0.6,1.8,2.1,0,11.0,7.0,2.0,['BARTONCCC' 'CINCY' 'WALSHOH'],,0,0,0,21,2005,0.3,1.0,,2.0,5.7
0,Eric Williams,1995-96,23.0,['BOS' 'DEN' 'TOT' 'CLE' 'NJN' 'TOR' 'SAS' 'CHA'],NBA,SF,82.0,79.0,36.3,6.0,15.3,0.47,0.8,1.9,0.471,6.0,15.3,0.483,0.559,7.8,11.3,0.799,2.5,3.5,5.3,3.0,0.2,2.3,3.8,19.8,1,31.0,12.0,7.0,['PROVIDENCE'],,0,0,0,14,1995,1.0,5.0,,2.0,28.6
0,Jahidi White,1998-99,22.0,['WAS' 'TOT' 'PHO' 'CHA'],NBA,PF,80.0,69.0,23.7,3.0,6.0,0.538,0.0,0.0,0.0,3.0,6.0,0.538,0.538,2.6,4.6,0.68,2.6,5.0,7.7,0.3,1.6,2.0,3.1,8.6,1,23.0,19.0,2.0,['GEORGETOWN'],,0,0,0,14,1998,0.5,3.0,,7.0,25.2
0,John Williamson,1973-74,22.0,['NYA' 'TOT' 'NYN' 'IND' 'NJN' 'WSB'],ABA,SG,77.0,,38.8,11.8,25.9,0.491,0.3,0.7,0.421,11.8,25.9,0.494,0.492,6.0,7.0,0.864,1.0,2.3,3.2,3.7,0.4,3.1,3.4,29.5,1,50.0,10.0,12.0,['NMSTATE'],https://www.basketball-reference.com/req/202106291/images/headshots/willijo01.jpg,0,2,0,10,1973,1.6,6.0,,2.0,31.3
0,Zion Williamson,2019-20,19.0,['NOP'],NBA,PF,61.0,61.0,33.2,10.4,17.0,0.611,0.3,0.7,0.429,10.2,16.4,0.622,0.616,6.1,8.7,0.714,2.7,5.0,7.2,4.6,0.6,3.4,2.2,27.0,0,43.0,15.0,9.0,['DUKE'],https://www.basketball-reference.com/req/202106291/images/headshots/willizi01.jpg,2,0,0,1,2019,1.1,5.0,,3.0,36.4
0,Dwyane Wade,2003-04,22.0,['MIA' 'CHI' 'TOT' 'CLE'],NBA,PG,79.0,79.0,38.6,10.8,22.0,0.545,1.2,3.6,0.33,9.7,18.5,0.557,0.551,8.5,10.7,0.807,1.6,4.8,6.4,7.5,1.3,4.4,3.0,30.2,1,55.0,16.0,16.0,['MARQUETTE'],https://www.basketball-reference.com/req/202106291/images/headshots/wadedw01.jpg,13,3,1,5,2003,2.2,8.0,5.0,5.0,49.0
0,Don Washington,1974-75,22.0,['DNA' 'UTS'],ABA,SF,50.0,,9.7,2.0,3.7,0.667,0.0,0.0,0.0,2.0,3.6,0.667,0.667,0.8,1.1,0.679,0.8,1.5,2.2,0.6,0.4,1.0,3.2,4.0,0,18.0,11.0,3.0,,,0,0,0,8,1975,0.2,1.0,,1.0,5.8
0,Tony White,1987-88,22.0,['TOT' 'CHI' 'NYK' 'GSW'],NBA,PG,49.0,0.0,13.2,2.7,5.8,0.463,0.0,0.1,0.0,2.7,5.7,0.475,0.463,0.9,1.2,0.732,0.3,0.5,0.8,1.4,0.1,1.1,1.2,6.2,1,24.0,3.0,5.0,['TENNESSEE'],,0,0,0,10,1987,0.5,3.0,,1.0,16.8
0,Peyton Watson,2022-23,20.0,['DEN'],NBA,SG,23.0,2.0,8.1,1.3,2.6,0.492,0.3,0.6,0.429,1.0,2.0,0.511,0.542,0.5,0.9,0.55,0.3,1.3,1.6,0.5,0.5,0.3,0.6,3.3,0,13.0,8.0,4.0,['UCLA'],https://www.basketball-reference.com/req/202106291/images/headshots/watsope01.jpg,0,1,0,30,2022,0.1,1.0,,3.0,9.9
0,Buck Williams,1981-82,21.0,['NJN' 'POR' 'NYK'],NBA,PF,82.0,82.0,38.8,7.0,13.3,0.604,0.0,0.0,1.0,7.0,13.2,0.605,0.604,5.2,7.4,0.754,4.5,8.5,12.5,2.0,1.5,3.4,3.8,18.3,0,35.0,27.0,7.0,['MARYLAND'],https://www.basketball-reference.com/req/202106291/images/headshots/willibu01.jpg,3,0,0,3,1981,1.1,5.0,,7.0,36.9
0,Moses Wright,2021-22,23.0,['TOT' 'LAC' 'DAL'],NBA,PF,4.0,0.0,4.3,0.3,1.3,0.25,0.0,0.3,0.0,0.3,1.0,0.333,0.25,1.0,1.0,1.0,0.3,0.7,1.0,1.0,0.3,0.0,0.0,1.7,1,3.0,2.0,1.0,['GATECH'],https://www.basketball-reference.com/req/202106291/images/headshots/wrighmo01.jpg,0,0,0,,,0.0,,,1.0,4.0
0,Briante Weber,2015-16,23.0,['TOT' 'MEM' 'MIA' 'GSW' 'CHO' 'HOU'],NBA,PG,20.0,4.0,27.7,2.2,6.3,1.0,0.3,0.8,0.444,2.2,5.5,1.0,1.0,0.8,1.2,1.0,1.3,2.7,4.0,3.3,0.5,1.6,2.0,4.8,1,15.0,7.0,7.0,['VCU'],https://www.basketball-reference.com/req/202106291/images/headshots/weberbr01.jpg,0,0,0,,,1.6,3.0,,1.0,13.1
0,Bill Walton,1974-75,22.0,['POR' 'SDC' 'LAC' 'BOS'],NBA,C,80.0,46.0,34.8,7.9,15.2,0.562,0.0,0.0,0.0,7.9,15.2,0.562,0.562,3.5,5.0,0.72,3.2,11.2,14.4,5.0,3.6,3.6,3.4,18.9,0,36.0,26.0,14.0,['UCLA'],https://www.basketball-reference.com/req/202106291/images/headshots/waltobi01.jpg,2,2,0,1,1974,1.0,6.0,5.0,9.0,30.6
0,Brian Winters,1974-75,22.0,['LAL' 'MIL'],NBA,SG,80.0,13.0,35.8,8.4,18.2,0.501,0.6,1.5,0.387,8.4,18.2,0.516,0.524,3.1,3.7,0.869,1.1,2.3,3.2,4.9,0.5,3.3,3.1,19.9,0,43.0,10.0,18.0,['SCAROLINA'],https://www.basketball-reference.com/req/202106291/images/headshots/wintebr01.jpg,2,0,0,12,1974,1.6,5.0,,3.0,39.0
0,Ron Widby,1967-68,22.0,['NOB'],ABA,,20.0,,6.9,1.4,3.5,0.386,0.0,0.2,0.0,1.4,3.4,0.403,0.386,0.2,0.4,0.571,,,2.3,0.2,,0.4,0.9,2.9,0,12.0,6.0,,['TENNESSEE'],,0,0,0,3,1967,,,,,
0,Jack White,2022-23,25.0,['DEN'],NBA,SF,17.0,0.0,3.9,0.5,1.1,0.421,0.2,0.5,0.333,0.3,0.6,0.5,0.5,0.1,0.2,0.667,0.4,0.6,1.0,0.2,0.1,0.1,0.5,1.2,0,7.0,8.0,2.0,['DUKE'],https://www.basketball-reference.com/req/202106291/images/headshots/whiteja03.jpg,0,1,0,,,0.2,1.0,,2.0,7.3
0,Dajuan Wagner,2002-03,19.0,['CLE' 'GSW'],NBA,SG,47.0,24.0,29.5,4.7,12.9,1.0,1.2,3.7,1.0,3.6,9.2,0.448,1.5,2.7,3.4,0.8,0.4,1.3,1.7,2.8,0.2,1.8,2.3,13.4,0,33.0,7.0,10.0,['MEMPHIS'],,0,0,0,6,2002,0.8,3.0,,2.0,23.4
0,Dominique Wilkins,1982-83,23.0,['ATL' 'TOT' 'LAC' 'BOS' 'SAS' 'ORL'],NBA,SF,82.0,82.0,39.1,11.7,25.1,0.493,1.7,4.5,0.388,11.2,23.4,0.504,0.506,7.7,9.4,0.854,3.3,5.8,9.0,3.8,1.1,3.2,2.6,30.7,1,57.0,19.0,10.0,['GEORGIA'],https://www.basketball-reference.com/req/202106291/images/headshots/wilkido01.jpg,9,0,0,3,1982,1.8,7.0,,6.0,51.6
0,D.C. Wilcutt,1948-49,25.0,['STB'],BAA,,37.0,,,0.8,2.3,0.353,,,,,,,,0.8,1.1,0.833,,,,1.4,,,0.7,2.3,0,11.0,,5.0,['STLOUIS'],,0,0,0,,1948,,,,,
0,Dwight Waller,1968-69,23.0,['ATL' 'DNR'],NBA,,11.0,,12.4,1.4,3.4,0.5,0.0,0.1,0.0,1.4,3.3,0.5,0.5,1.3,2.7,0.474,2.3,3.1,5.4,0.6,,2.3,1.7,4.1,0,8.0,9.0,1.0,,,0,0,0,11,1968,,,,,
0,John Wallace,1996-97,22.0,['NYK' 'TOR' 'DET' 'PHO' 'MIA'],NBA,SF,82.0,36.0,28.8,5.7,11.9,0.517,0.1,0.4,0.5,5.7,11.9,0.517,0.521,2.6,3.6,0.87,1.4,3.1,4.5,1.3,1.2,2.1,2.9,14.0,0,30.0,12.0,6.0,['SYRACUSE'],,0,0,0,18,1996,0.8,4.0,,5.0,29.0
0,Sean Williams,2007-08,21.0,['NJN' 'TOT' 'DAL' 'BOS'],NBA,C,73.0,29.0,17.5,2.2,4.2,0.75,0.0,0.1,0.0,2.2,4.2,0.75,0.75,2.3,2.3,1.0,1.6,2.8,4.4,1.0,1.5,1.0,2.6,5.6,1,22.0,12.0,3.0,['BOSTONCOLL'],https://www.basketball-reference.com/req/202106291/images/headshots/willise01.jpg,0,0,0,17,2007,1.0,3.0,,8.0,19.1
0,Hassan Whiteside,2010-11,21.0,['SAC' 'MIA' 'POR' 'UTA'],NBA,C,77.0,77.0,32.6,7.0,12.6,0.652,0.1,0.2,1.0,7.0,12.6,0.652,0.652,2.9,4.6,0.703,3.9,10.3,14.1,1.2,3.7,2.0,2.9,17.0,0,33.0,25.0,7.0,['MARSHALL'],https://www.basketball-reference.com/req/202106291/images/headshots/whiteha01.jpg,0,0,0,3,2010,0.7,4.0,4.0,12.0,36.2
0,Fly Williams,1974-75,21.0,['SSL'],ABA,SG,71.0,,17.5,4.2,9.1,0.462,0.0,0.2,0.143,4.2,8.9,0.469,0.463,1.0,1.4,0.683,1.0,1.5,2.5,2.0,0.1,2.5,2.2,9.4,0,29.0,9.0,8.0,,,0,0,0,12,1976,0.9,4.0,,2.0,8.3
0,Jiří Welsch,2002-03,23.0,['GSW' 'BOS' 'TOT' 'CLE' 'MIL'],NBA,SF,81.0,68.0,26.9,3.2,7.6,0.428,0.9,2.2,0.381,2.4,5.3,0.475,0.484,2.0,2.6,0.773,0.7,2.9,3.7,2.3,0.1,1.6,2.2,9.2,1,24.0,12.0,7.0,,https://www.basketball-reference.com/req/202106291/images/headshots/welscji01.jpg,0,0,0,16,2002,1.2,4.0,,2.0,22.5
0,Dave Wohl,1971-72,22.0,['PHI' 'TOT' 'POR' 'BUF' 'HOU' 'NYN' 'NJN'],NBA,PG,79.0,,27.5,3.7,8.1,0.48,,,,,,,,2.0,2.6,1.0,0.4,1.6,2.1,4.6,0.2,1.6,3.3,8.8,1,29.0,7.0,12.0,['UPENN'],,0,0,0,11,1971,1.7,6.0,,2.0,-0.6
0,Tyson Wheeler,1998-99,23.0,['DEN'],NBA,PG,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.5,1.0,2.0,0.5,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,0,4.0,,2.0,['RHODEISLE'],,0,0,0,18,1998,0.0,,,,4.3
0,Bob Warlick,1965-66,24.0,['DET' 'SFW' 'TOT' 'MIL' 'PHO' 'LAS'],NBA,SG,69.0,,24.5,3.9,10.7,0.423,0.0,0.0,0.0,3.9,10.6,0.423,0.423,2.2,3.3,0.8,1.8,2.2,3.9,2.6,,2.0,2.4,10.0,1,27.0,12.0,9.0,['PEPPERDINE'],,0,0,0,,,,,,,
0,Derrick White,2017-18,23.0,['SAS' 'TOT' 'BOS'],NBA,PG,82.0,70.0,30.3,5.2,12.6,0.485,2.3,6.8,0.615,3.3,6.4,0.548,0.606,2.8,3.3,0.875,0.6,3.2,3.7,5.6,1.0,1.8,2.5,15.4,1,33.0,10.0,14.0,['COLORADO'],https://www.basketball-reference.com/req/202106291/images/headshots/whitede01.jpg,0,0,0,29,2017,1.0,6.0,,6.0,33.7
0,Ray Williams,1977-78,23.0,['NYK' 'NJN' 'KCK' 'BOS' 'TOT' 'ATL' 'SAS'],NBA,PG,82.0,69.0,34.7,8.4,16.9,0.496,0.3,1.1,0.364,8.3,16.4,0.505,0.499,4.7,5.7,0.969,1.8,3.3,5.0,7.9,0.5,4.7,3.7,20.9,1,52.0,12.0,18.0,['MINNESOTA'],,0,0,0,10,1977,2.4,8.0,5.0,3.0,30.5
0,Matt Wenstrom,1993-94,23.0,['BOS'],NBA,C,11.0,0.0,3.4,0.5,0.9,0.6,0.0,0.0,,0.5,0.9,0.6,0.6,0.5,0.9,0.6,0.5,0.5,1.1,0.0,0.2,0.4,0.6,1.6,0,5.0,4.0,,['UNC'],,0,0,0,,,0.0,,,1.0,4.9
0,Milt Williams,1970-71,25.0,['NYK' 'ATL' 'SEA' 'SSL'],NBA,PG,53.0,,23.8,2.8,5.3,1.0,0.0,0.0,,2.8,5.3,1.0,1.0,2.1,2.9,0.724,1.0,2.3,3.3,3.0,0.0,2.5,2.5,6.7,0,24.0,5.0,8.0,,,0,0,0,5,1968,2.5,2.0,,,
0,Brandon Williams,1997-98,22.0,['GSW' 'SAS' 'ATL'],NBA,SG,9.0,2.0,15.6,1.8,5.6,0.32,0.3,1.0,0.333,1.4,4.6,0.317,0.35,0.7,1.3,0.5,0.4,1.2,1.7,0.3,0.3,1.0,2.0,4.1,0,11.0,4.0,1.0,['DAVIDSON'],https://www.basketball-reference.com/req/202106291/images/headshots/willibr01.jpg,0,1,0,,,0.7,2.0,,2.0,7.1
0,Mike Williams,1989-90,26.0,['TOT' 'SAC' 'ATL'],NBA,"PF,SF",21.0,0.0,5.5,0.4,0.9,0.429,0.0,0.1,0.0,0.4,0.8,0.462,0.429,0.2,0.4,0.5,0.3,1.1,1.4,0.1,0.4,0.2,1.8,0.9,1,4.0,4.0,1.0,['CINCY' 'BRADLEY'],,0,0,0,4,1986,0.2,1.0,,2.0,5.2
0,Rodney White,2001-02,21.0,['DET' 'DEN' 'TOT' 'GSW'],NBA,SF,72.0,19.0,21.7,3.6,8.9,0.459,0.5,1.9,0.432,3.2,7.0,0.478,0.495,1.4,1.7,0.857,0.6,2.4,3.0,1.7,0.4,2.2,1.9,9.0,1,24.0,12.0,10.0,['CHARLOTTE'],,0,0,0,9,2001,0.7,3.0,1.0,3.0,21.7
0,T.J. Warren,2014-15,21.0,['PHO' 'IND' 'TOT' 'BRK'],NBA,SF,67.0,67.0,33.0,8.1,16.4,0.536,1.8,4.2,0.428,7.8,15.0,0.614,0.581,3.0,3.9,0.819,1.9,3.3,5.1,1.5,0.7,1.3,4.0,19.8,1,53.0,16.0,6.0,['NCSTATE'],https://www.basketball-reference.com/req/202106291/images/headshots/warretj01.jpg,0,0,0,14,2014,1.2,5.0,,4.0,42.8
0,Lou Williams,2005-06,19.0,['PHI' 'ATL' 'TOR' 'LAL' 'TOT' 'HOU' 'LAC'],NBA,PG,81.0,38.0,32.8,7.4,16.9,0.47,2.4,6.6,0.444,5.1,11.3,0.527,0.527,5.7,6.5,0.884,0.5,2.6,3.1,5.6,0.4,3.0,1.7,22.6,1,50.0,10.0,13.0,,https://www.basketball-reference.com/req/202106291/images/headshots/willilo02.jpg,0,0,0,15,2005,1.3,10.0,1.0,3.0,40.6
0,A.J. Wynder,1990-91,26.0,['BOS'],NBA,PG,6.0,0.0,6.5,0.5,2.0,0.25,0.0,0.2,0.0,0.5,1.8,0.273,0.25,1.0,1.3,0.75,0.2,0.3,0.5,1.3,0.0,0.7,0.2,2.0,0,4.0,2.0,3.0,['UMASS' 'FAIRFIELD'],,0,0,0,,,0.2,1.0,,,3.7
0,Lonnie Wright,1967-68,23.0,['DNR' 'TOT' 'FLO'],ABA,SG,79.0,,36.8,6.6,15.8,0.439,0.7,2.4,0.28,6.3,14.5,0.467,0.443,3.0,4.0,0.812,0.9,3.5,4.2,2.5,,2.3,3.6,16.4,1,37.0,9.0,7.0,['COLORADOST'],,0,0,0,4,1966,,,,,
0,Walt Wesley,1966-67,22.0,['CIN' 'CHI' 'CLE' 'TOT' 'PHO' 'CAP' 'PHI' 'MIL' 'LAL'],NBA,C,82.0,,29.6,6.9,15.1,0.556,,,,,,,,4.0,5.8,0.687,1.6,1.9,8.7,1.0,0.5,,3.6,17.7,1,50.0,21.0,5.0,['KANSAS'],,0,0,0,6,1966,0.2,2.0,,1.0,
0,Andre Wakefield,1978-79,24.0,['TOT' 'CHI' 'DET' 'UTA'],NBA,SG,73.0,,8.1,0.9,2.5,0.4,0.0,0.0,,0.9,2.5,0.4,0.4,0.7,1.0,1.0,0.4,0.7,1.1,1.0,0.0,1.0,1.6,2.4,1,17.0,6.0,6.0,['LOYOLACHI'],,0,0,0,19,1978,0.3,1.0,,1.0,7.8
0,Sly Williams,1979-80,22.0,['NYK' 'ATL' 'BOS'],NBA,SF,68.0,27.0,29.5,5.8,11.2,0.556,0.1,0.7,0.267,5.8,10.7,0.561,0.557,2.8,4.0,0.783,2.4,3.8,6.2,2.8,0.3,2.3,3.0,13.9,0,34.0,15.0,8.0,['RHODEISLE'],,0,0,0,21,1979,1.7,5.0,,3.0,23.6
0,David Wesley,1993-94,23.0,['NJN' 'BOS' 'CHH' 'NOH' 'TOT' 'HOU' 'CLE'],NBA,PG,82.0,82.0,40.4,6.4,15.1,0.468,1.8,4.7,0.429,5.2,12.0,0.513,0.538,3.3,4.1,0.882,0.9,2.8,3.6,7.3,0.4,2.9,3.0,17.2,1,37.0,10.0,15.0,['BAYLOR'],https://www.basketball-reference.com/req/202106291/images/headshots/wesleda01.jpg,0,0,0,,,2.2,7.0,,2.0,37.9
0,DeJuan Wheat,1997-98,24.0,['MIN' 'VAN'],NBA,PG,46.0,0.0,12.8,1.6,4.2,0.4,0.5,1.3,0.471,1.1,2.9,0.383,0.48,0.9,1.2,0.727,0.2,0.7,1.0,2.2,0.0,1.0,1.3,4.5,0,19.0,4.0,8.0,['LOUISVILLE'],,0,0,0,23,1997,0.6,3.0,,1.0,22.1
0,Andrew Wiggins,2014-15,19.0,['MIN' 'TOT' 'GSW'],NBA,SF,82.0,82.0,37.2,8.6,19.1,0.477,2.4,6.5,0.396,7.4,15.6,0.53,0.557,5.3,7.0,0.761,1.6,4.1,5.2,3.7,1.4,2.5,2.9,23.6,1,47.0,11.0,11.0,['KANSAS'],https://www.basketball-reference.com/req/202106291/images/headshots/wiggian01.jpg,1,1,0,1,2014,1.3,6.0,1.0,5.0,37.5
0,Luke Witte,1973-74,23.0,['CLE'],NBA,C,57.0,,12.8,1.8,4.3,0.432,,,,,,,,0.8,1.1,0.742,1.4,2.6,4.0,0.7,0.6,,1.6,4.5,0,17.0,13.0,4.0,['OHIOST'],,0,0,0,5,1973,0.1,3.0,,4.0,
0,Tony Wroten,2012-13,19.0,['MEM' 'PHI'],NBA,SG,72.0,16.0,29.8,5.8,14.5,0.427,1.2,4.7,0.261,4.6,9.7,0.492,0.452,4.0,6.0,0.724,1.0,2.4,3.2,5.2,0.3,3.8,2.4,16.9,0,31.0,10.0,11.0,['WASHINGTON'],https://www.basketball-reference.com/req/202106291/images/headshots/wroteto01.jpg,0,0,0,25,2012,1.6,5.0,1.0,2.0,25.5
0,John Windsor,1963-64,23.0,['SFW'],NBA,PF,11.0,,6.2,0.9,2.5,0.37,,,,,,,,0.6,0.7,0.875,,,2.4,0.2,,,1.2,2.5,0,6.0,5.0,1.0,['STANFORD'],,0,0,0,5,1962,,,,,
0,Trevor Winter,1998-99,25.0,['MIN'],NBA,C,1.0,0.0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,5.0,0.0,0,,3.0,,['MINNESOTA'],,0,0,0,,,0.0,,,,-0.7
0,Antoine Wright,2005-06,21.0,['NJN' 'TOT' 'DAL' 'TOR' 'SAC'],NBA,SG,67.0,53.0,25.8,2.8,7.0,0.5,0.9,2.6,0.556,2.1,4.5,0.485,0.56,1.1,1.5,0.747,0.9,2.3,3.0,1.6,0.4,1.0,2.6,7.3,1,24.0,11.0,6.0,['TEXASAM'],https://www.basketball-reference.com/req/202106291/images/headshots/wrighan01.jpg,0,0,0,15,2005,0.7,4.0,,4.0,18.5
